,,Result Mean,Result Lower Bound,Result Upper Bound,Effect Size,Effect Upper Bound,Effect Lower Bound,Effect P Value
"('caveman', 'indep')",confidence,56.075477009517265,54.21846881091619,57.94398318713451,0.6819739708748995,3.2726902304781564,-2.1037524079807364,0.32267292888226845
"('caveman', 'indep')",consensus,57.64748595344569,55.74112694931775,59.46045988132095,1.7551513587891305,4.14701688453159,-0.6890118392386189,0.0868612596093489
"('caveman', 'indep')",net spoke 5% similarity,-0.11509794649572544,-0.13426419468175235,-0.09751946972341406,-0.03239432209131645,-0.010780047781236148,-0.05717754820194831,0.004804357836052984
"('caveman', 'indep')",net spoke 95% similarity,0.2520838027070468,0.22468715137613143,0.28154188816077047,0.15612130455404297,0.18876665972053944,0.11944960310753533,1.0632854379573541e-09
"('caveman', 'indep')",net spoke PC1,0.18973985245971528,0.16960887654253393,0.20792900851361232,0.13665051869833744,0.16067437730764506,0.1102640427907578,1.7309206448868254e-11
"('caveman', 'indep')",spoke 5% similarity,-0.27129136945691035,-0.30919434708790455,-0.23484420128449895,-0.1136273804995618,-0.06140419910639042,-0.16102704005080362,6.620323702446612e-05
"('caveman', 'indep')",spoke 95% similarity,0.8039063588128178,0.7826074422973864,0.822882652046414,0.11573633022020707,0.14421921640001065,0.08915005253588186,2.0944328894558012e-09
"('caveman', 'indep')",spoke PC1,0.38768063345255954,0.36951973637046026,0.406517874141241,0.09161623877825598,0.1154822214821263,0.06741397985423626,1.8673674897590724e-08
"('caveman', 'indep')",survey 5% similarity,-0.4976048323994304,-0.5299687462965104,-0.46686269550471593,-0.08875040366255847,-0.050283462417348816,-0.1256184288482638,6.348413598573914e-05
"('caveman', 'indep')",survey 95% similarity,0.6898413258231973,0.6616296796470702,0.7123073319217191,0.021476882584025008,0.05541484230064224,-0.013570586996625318,0.12300622425355476
"('caveman', 'indep')",survey PC1,0.3801867401087768,0.3573028146177639,0.4029923823104135,0.07212037578671482,0.10106173235600717,0.041884959061896536,2.319297624545616e-05
"('caveman', 'inter')",confidence,59.13060428849901,57.243967105263145,60.84721686159844,3.737101249856667,6.921091302602915,0.6441772875816998,0.011963242983123413
"('caveman', 'inter')",consensus,56.93103313840156,54.84680311890839,58.956605750487334,1.0386985437449843,3.8496352912510035,-1.3833723053548888,0.23084080263936985
"('caveman', 'inter')",net spoke 5% similarity,-0.11200747315358887,-0.12864048415215248,-0.09422656703657481,-0.02930384874917983,-0.0053828093520105905,-0.05096237530746322,0.01156034700091653
"('caveman', 'inter')",net spoke 95% similarity,0.255504651934372,0.23024610880812355,0.2800591505609002,0.15954215378136818,0.19134524736212571,0.12863130603385584,1.0435675800967741e-11
"('caveman', 'inter')",net spoke PC1,0.1942933759690898,0.17535851040160144,0.21528691409765263,0.1412040422077119,0.1653020309220159,0.11781530487283146,2.8121668564196764e-12
"('caveman', 'inter')",spoke 5% similarity,-0.30302756710753387,-0.33584655268148716,-0.2632062171860422,-0.1453635781501853,-0.10372243963885705,-0.18354401049588595,8.120112539858834e-08
"('caveman', 'inter')",spoke 95% similarity,0.7773176425560291,0.7575183319406988,0.7978792637356654,0.08914761396341833,0.11332874116871139,0.06398932061193072,7.135142331512163e-08
"('caveman', 'inter')",spoke PC1,0.39187389944864925,0.3697432932969111,0.41431427523109376,0.09580950477434567,0.12146433015751576,0.06731543405260787,1.839114625180834e-07
"('caveman', 'inter')",survey 5% similarity,-0.4915531845428561,-0.5277487606298065,-0.4501747951634806,-0.08269875580598438,-0.03600008431611409,-0.13128381236815084,0.0014791746576867766
"('caveman', 'inter')",survey 95% similarity,0.7042487908965804,0.6749981488422538,0.7355425511517762,0.035884347657408,0.06187941045212378,0.010465479603438757,0.005817627419345298
"('caveman', 'inter')",survey PC1,0.3626171701389263,0.3424511543184979,0.38222171092087204,0.054550805816864424,0.08085000828472601,0.028332954395751096,0.00034628378102637586
"('dodec', 'indep')",confidence,55.39350303864235,53.07674776401788,57.90403495872034,0.0,0.0,0.0,
"('dodec', 'indep')",consensus,55.89233459465658,53.86839376218324,57.90958956828344,0.0,0.0,0.0,
"('dodec', 'indep')",net spoke 5% similarity,-0.08270362440440898,-0.09788462703002782,-0.06825369704711881,0.0,0.0,0.0,
"('dodec', 'indep')",net spoke 95% similarity,0.09596249815300384,0.07597105068681041,0.11377679302749541,0.0,0.0,0.0,
"('dodec', 'indep')",net spoke PC1,0.05308933376137789,0.04043007637054447,0.06709171623495416,0.0,0.0,0.0,
"('dodec', 'indep')",spoke 5% similarity,-0.15766398895734868,-0.19343772736133788,-0.12220334139444142,0.0,0.0,0.0,
"('dodec', 'indep')",spoke 95% similarity,0.6881700285926107,0.6687666183178864,0.7085536517292365,0.0,0.0,0.0,
"('dodec', 'indep')",spoke PC1,0.29606439467430357,0.2783569468887004,0.3141701390187091,0.0,0.0,0.0,
"('dodec', 'indep')",survey 5% similarity,-0.4088544287368719,-0.4386658873885477,-0.3763919843165856,0.0,0.0,0.0,
"('dodec', 'indep')",survey 95% similarity,0.6683644432391722,0.6427667366720179,0.6945319335721923,0.0,0.0,0.0,
"('dodec', 'indep')",survey PC1,0.30806636432206186,0.2904998523574968,0.32647539032810247,0.0,0.0,0.0,
"('dodec', 'inter')",confidence,57.56182504873295,54.564316520467834,60.34820687134502,2.1683220100905864,4.591218176671253,-0.12120194430111177,0.04513817559075827
"('dodec', 'inter')",consensus,55.26843079922027,52.96386184210526,57.69682017543861,-0.623903795436302,1.9646728299506937,-3.1075645138172208,0.3110859487761396
"('dodec', 'inter')",net spoke 5% similarity,-0.0713472118784973,-0.0927573202508815,-0.05212816723673706,0.011356412525911701,0.03693087753689141,-0.013453936673168921,0.1958752831034844
"('dodec', 'inter')",net spoke 95% similarity,0.12205988232411139,0.10047868360588624,0.1459474327870726,0.02609738417110755,0.04777891910245033,0.005440548040787668,0.014217579107612984
"('dodec', 'inter')",net spoke PC1,0.07553071915934607,0.05967578678042271,0.09400487437335295,0.02244138539796817,0.04156092970844865,0.004516229604947612,0.012667524341611891
"('dodec', 'inter')",spoke 5% similarity,-0.215429031122592,-0.24622959064404307,-0.1843338579359177,-0.05776504216524336,-0.018667630565861924,-0.09611945641161851,0.00459607157090697
"('dodec', 'inter')",spoke 95% similarity,0.6721970520345517,0.6449606217787172,0.6993928629507129,-0.015972976558058984,0.015013421123959526,-0.04641402698728245,0.16796772087286
"('dodec', 'inter')",spoke PC1,0.29258211333836753,0.27311241274780573,0.3112876850992832,-0.0034822813359360783,0.019087520910666275,-0.026831480439134976,0.38957264433112604
"('dodec', 'inter')",survey 5% similarity,-0.44298001632714507,-0.46759545688547766,-0.41654085109621525,-0.03412558759027329,0.0036709460012190687,-0.07436332149114885,0.05834384389201774
"('dodec', 'inter')",survey 95% similarity,0.6644785923339745,0.6394522217117323,0.6901829592095218,-0.003885850905197939,0.02990327278933175,-0.040018754987365734,0.41370021642186966
"('dodec', 'inter')",survey PC1,0.33615152961179473,0.3157169358577022,0.3564002920871314,0.02808516528973281,0.053448230603725326,0.00046882749020989525,0.021664809340161933
